"Employee Number","First Name","Last Name","Email Address","Department","Job Level","Tenure","Pay Rate","Base Comp","Gender","Ethnicity","Tenure Date","Report Effective Date"
"00000009","Ayush","Sevin","ayush.sevin@widgetcorp.com","Admin Offices","Analyst",2.51369809584232,39.032,81176.7434218648,"Male",2,2017-06-26,2019-12-31
"00000047","Jose","Montoya","jose.montoya@widgetcorp.com","Admin Offices","Analyst",3.49605143896081,40.21075,83629.6618326223,"Male",4,2016-07-02,2019-12-31
"00000070","Sahheeda","el-Kazmi","sahheeda.el-kazmi@widgetcorp.com","Procurement","Analyst",3.81873903429,27.43925,57080.7902969894,"Female",6,2016-03-06,2019-12-31
"00000292","Aaqil","Bohm","aaqil.bohm@widgetcorp.com","Admin Offices","Analyst",5.21659391576093,33.62,69919.4151293562,"Male",2,2014-10-12,2019-12-31
"00000324","Naseema","al-Jalil","naseema.al-jalil@widgetcorp.com","Admin Offices","Analyst",5.40252314982111,28.741,59780.1631522583,"Female",6,2014-08-05,2019-12-31
"00000337","Kameela","el-Abdoo","kameela.el-abdoo@widgetcorp.com","Admin Offices","Associate",5.47757758943826,32.8615,68341.3890313893,"Female",6,2014-07-09,2019-12-31
"00000367","Jayce","Short","jayce.short@widgetcorp.com","Admin Offices","Associate",5.62817068139271,35.45475,73735.9444612954,"Male",5,2014-05-15,2019-12-31
"00000373","Toan","Key","toan.key@widgetcorp.com","Admin Offices","Analyst",5.66233302370424,39.08325,81292.2313277017,"Male",2,2014-05-03,2019-12-31
"00000383","Raashid","el-Abdalla","raashid.el-abdalla@widgetcorp.com","Admin Offices","Director",5.71145619517625,55.022,114442.294871335,"Male",6,2014-04-15,2019-12-31
"00000454","Maazina","al-Husain","maazina.al-husain@widgetcorp.com","Complaince","Associate",6.0166103371658,33.9685,70659.6442119537,"Female",6,2013-12-24,2019-12-31
"00000519","Hissa","el-Hannan","hissa.el-hannan@widgetcorp.com","Operations","Manager",6.3321638013073,36.2235,75352.6455000834,"Female",6,2013-08-31,2019-12-31
"00000520","Mallory","De La Garza","mallory.de la garza@widgetcorp.com","HR","Associate",6.33502440370346,35.31125,73445.3776183141,"Female",4,2013-08-30,2019-12-31
"00000565","Vicente","Miramontes","vicente.miramontes@widgetcorp.com","Admin Offices","Associate",6.54301637581892,37.97625,78996.558743034,"Male",4,2013-06-15,2019-12-31
"00000572","Alexander","Armitstead","alexander.armitstead@widgetcorp.com","Admin Offices","Analyst",6.56053224377184,33.2305,69124.8050495996,"Male",5,2013-06-09,2019-12-31
"00000664","Uthmaa N","el-Galla","uthmaa n.el-galla@widgetcorp.com","Admin Offices","Manager",7.0805677597737,53.6075,111496.435737427,"Male",6,2012-12-01,2019-12-31
"00000677","Emily","Jordan","emily.jordan@widgetcorp.com","Admin Offices","Analyst",7.15947042207972,32.7795,68172.9008453708,"Female",5,2012-11-02,2019-12-31
"00000678","Jaquey","Shorty","jaquey.shorty@widgetcorp.com","Admin Offices","Analyst",7.16420591257136,51.01425,106102.415334457,"Male",3,2012-10-31,2019-12-31
"00000751","Evanna","Brown","evanna.brown@widgetcorp.com","Admin Offices","Associate",7.54761804080917,33.07675,68801.4273489794,"Female",4,2012-06-13,2019-12-31
"00000859","Fawqiyya","el-Saber","fawqiyya.el-saber@widgetcorp.com","Admin Offices","Executive",8.48730784210279,45.387,94414.8412125891,"Female",6,2011-07-06,2019-12-31
"00000867","Leslie","Picaso","leslie.picaso@widgetcorp.com","Admin Offices","Director",8.57777951381187,42.435,88268.5936318285,"Female",4,2011-06-03,2019-12-31
"00000888","Phillip","Tewolde","phillip.tewolde@widgetcorp.com","Admin Offices","Executive",8.83787295180401,58.86575,122440.086551961,"Male",3,2011-02-28,2019-12-31
"00000904","Samuel","Jelly","samuel.jelly@widgetcorp.com","Executive","VP",9.08626475988862,66.55325,138439.312988885,"Male",1,2010-11-29,2019-12-31
"00000017","William","Torain","william.torain@widgetcorp.com","Complaince","Associate",2.94940291193787,28.77175,59847.9333549607,"Male",3,2017-01-17,2019-12-31
"00000033","Rachelle","Thomas","rachelle.thomas@widgetcorp.com","Complaince","Analyst",3.35575762213937,27.84925,57932.0489032651,"Female",1,2016-08-22,2019-12-31
"00000063","Drue","Hightower","drue.hightower@widgetcorp.com","Complaince","Associate",3.72846726068525,38.81675,80740.5442402234,"Male",3,2016-04-08,2019-12-31
"00000178","Husniyya","al-Nazir","husniyya.al-nazir@widgetcorp.com","Complaince","Analyst",4.68230736898303,27.60325,57422.7961232814,"Female",6,2015-04-26,2019-12-31
"00000196","Kelsey","Nguyen","kelsey.nguyen@widgetcorp.com","Engineering","Analyst",4.76524831823409,28.44375,59159.9534053241,"Female",2,2015-03-26,2019-12-31
"00000305","Edgar","Lopez","edgar.lopez@widgetcorp.com","Complaince","Associate",5.32405256037234,38.26325,79587.5283066357,"Male",4,2014-09-03,2019-12-31
"00000427","Erik","Sanders","erik.sanders@widgetcorp.com","Complaince","Associate",5.89498020465597,51.1885,106470.49189068,"Male",4,2014-02-07,2019-12-31
"00000513","Marianne","Rem","marianne.rem@widgetcorp.com","Complaince","Associate",6.30741125216017,34.92175,72636.5111068329,"Female",2,2013-09-09,2019-12-31
"00000848","Christina","Blaze","christina.blaze@widgetcorp.com","Complaince","VP",8.40049323613823,49.8355,103662.060242801,"Female",1,2011-08-06,2019-12-31
"00000040","Samuel","Liu","samuel.liu@widgetcorp.com","Design","Analyst",3.42677266570644,38.11975,79298.8389189177,"Male",2,2016-07-27,2019-12-31
"00000074","Baasim","el-Naqvi","baasim.el-naqvi@widgetcorp.com","Design","Analyst",3.86863752059584,49.651,103268.89426861,"Male",6,2016-02-17,2019-12-31
"00000121","Rosa","Aragon","rosa.aragon@widgetcorp.com","Design","Analyst",4.30688573283161,29.09975,60535.544474016,"Female",4,2015-09-10,2019-12-31
"00000137","Alondra","Leos-Valles","alondra.leos-valles@widgetcorp.com","Admin Offices","Associate",4.40821080301152,28.99725,60305.7326324709,"Female",4,2015-08-04,2019-12-31
"00000184","Will","Pronteau","will.pronteau@widgetcorp.com","HR","Associate",4.71496992241967,41.164,85631.4677518653,"Male",1,2015-04-14,2019-12-31
"00000186","Melina","Lau","melina.lau@widgetcorp.com","Design","Associate",4.71754327517078,33.1485,68954.1855732441,"Female",2,2015-04-13,2019-12-31
"00000226","Matthew","Lavelle","matthew.lavelle@widgetcorp.com","Design","Analyst",4.91145027865357,31.1395,64766.6338816116,"Male",5,2015-02-01,2019-12-31
"00000248","Courtney","Zweifel","courtney.zweifel@widgetcorp.com","Design","Associate",5.01793221426393,32.4515,67500.9052686273,"Female",5,2014-12-24,2019-12-31
